"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0
"3",0,0,0,0,1,0,0,0
"4",0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
"9",0,0,0,0,0,1,0,0
"10",1,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,1,0
"12",0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,1
"20",0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0
"23",0,0,0,0,1,0,0,0
"24",0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0
"27",0,2,0,2,0,0,2,0
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,0,2,0,2,2,0,0
"34",2,2,0,0,2,2,2,2
"35",0,2,0,2,0,2,2,2
