"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,1,1,1,1,1
"2",1,1,1,1,0,1,1,1
"3",1,0,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1
"6",1,1,0,1,1,1,1,0
"7",1,1,1,0,1,1,1,1
"8",1,1,1,1,1,0,1,1
"9",1,1,1,1,0,1,1,0
"10",0,1,1,1,1,1,0,1
"11",0,0,1,1,1,0,0,0
"12",0,0,1,1,1,1,0,0
"13",0,1,1,1,0,0,0,1
"14",0,1,1,0,1,1,1,0
"15",1,0,1,0,1,1,1,1
"16",2,0,1,0,1,1,1,1
"17",1,2,1,0,1,1,1,1
"18",1,1,1,1,1,0,1,0
"19",0,1,1,1,0,1,1,0
"20",1,1,0,1,1,1,0,0
"21",1,0,1,0,1,0,1,0
"22",2,0,1,1,0,2,2,0
"23",2,2,2,0,2,2,2,2
"24",2,2,2,0,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,0,2,2,2,2,2
"27",0,2,2,2,1,2,2,2
"28",2,0,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,0,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,0
"35",2,2,1,2,2,2,2,2
