"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,1,0,0,0,0,0
"2",1,1,1,1,1,0,1,0
"3",1,1,1,0,1,0,0,1
"4",1,1,1,1,1,0,1,0
"5",1,1,1,1,1,1,1,0
"6",1,1,1,0,1,0,1,1
"7",1,1,1,1,1,1,1,1
"8",1,0,1,1,1,1,1,1
"9",0,1,1,0,0,1,1,0
"10",1,1,1,1,1,0,1,1
"11",0,0,1,1,1,1,1,1
"12",1,0,0,1,0,1,1,1
"13",0,1,1,0,1,1,1,0
"14",1,1,1,1,1,0,1,1
"15",1,1,1,0,1,0,1,1
"16",0,1,1,1,1,0,0,1
"17",0,1,0,1,1,0,2,0
"18",1,1,1,1,1,1,1,2
"19",1,1,0,0,1,1,1,1
"20",0,1,1,1,1,0,0,0
"21",1,0,1,1,0,1,0,0
"22",1,0,1,1,1,0,2,2
"23",1,0,0,0,0,0,2,0
"24",0,0,0,1,0,0,2,2
"25",0,2,2,2,2,2,2,2
"26",2,2,2,0,0,2,2,0
"27",2,2,2,2,0,2,2,2
"28",0,2,2,2,2,2,0,0
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,0,2,2,2,2,2,2
"35",0,2,2,2,2,2,2,2
