"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,0,1,0,0,0,0
"2",1,1,1,1,1,1,0,1
"3",0,0,0,0,0,0,0,0
"4",0,0,1,1,0,1,1,0
"5",1,0,1,1,0,1,1,0
"6",1,1,1,1,0,0,1,1
"7",0,0,0,0,0,1,1,0
"8",1,0,0,1,0,1,1,1
"9",1,1,1,0,1,0,1,0
"10",1,1,0,1,0,0,1,1
"11",1,1,1,1,0,1,1,1
"12",1,1,0,1,1,1,0,1
"13",1,1,0,1,0,1,1,0
"14",0,1,1,1,1,1,1,0
"15",1,1,1,1,1,0,1,1
"16",1,1,1,1,1,0,0,1
"17",1,0,1,1,1,1,1,0
"18",1,1,1,1,0,1,1,0
"19",2,1,1,1,1,1,0,1
"20",2,0,0,1,1,0,1,1
"21",0,1,1,1,0,0,0,0
"22",2,0,0,0,1,0,1,0
"23",2,2,1,0,0,0,0,0
"24",1,0,0,1,0,1,1,0
"25",2,2,2,0,0,1,1,0
"26",2,2,1,1,2,0,1,0
"27",0,2,0,2,2,2,2,1
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,0
"35",2,2,2,2,2,2,2,2
