"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,0,0,1,1,1,1
"2",1,0,0,1,1,1,1,1
"3",1,1,1,1,1,0,0,1
"4",1,0,1,0,0,1,1,0
"5",0,1,1,1,1,1,1,0
"6",1,1,1,1,1,0,1,1
"7",1,1,1,1,1,1,1,0
"8",1,1,1,1,1,1,0,1
"9",0,0,0,1,0,1,1,0
"10",0,0,0,1,1,1,1,1
"11",1,0,1,1,1,1,1,0
"12",1,1,1,1,1,0,1,1
"13",1,0,1,1,1,1,0,0
"14",0,1,1,1,1,0,1,0
"15",0,1,1,1,1,0,1,0
"16",1,0,1,1,1,1,0,1
"17",0,1,1,1,0,1,0,0
"18",0,1,1,1,1,0,1,0
"19",1,0,1,0,1,1,0,1
"20",0,0,1,0,0,1,0,2
"21",0,1,1,2,0,0,2,2
"22",0,1,1,0,1,0,0,1
"23",1,1,0,0,1,0,1,1
"24",1,1,1,1,1,0,2,2
"25",2,1,1,0,1,0,1,2
"26",2,2,1,1,2,1,1,0
"27",2,2,1,2,1,2,1,0
"28",2,2,2,2,2,0,2,0
"29",2,2,2,2,2,2,1,0
"30",2,2,2,2,1,2,1,0
"31",2,2,2,2,2,0,1,1
"32",2,2,2,2,1,0,1,1
"33",2,2,2,2,1,1,1,1
"34",2,2,1,2,2,2,0,1
"35",2,2,2,2,2,2,1,2
