"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,0,0
"3",0,0,0,1,1,0,1,1
"4",1,1,1,1,1,0,1,1
"5",0,1,0,1,0,1,0,0
"6",1,0,1,1,1,0,1,1
"7",0,1,1,1,1,1,1,1
"8",1,1,1,0,0,1,1,0
"9",1,1,0,1,1,0,1,0
"10",1,1,1,0,1,1,1,0
"11",1,0,0,1,1,1,0,2
"12",1,1,1,1,1,1,0,0
"13",1,1,1,0,1,1,1,1
"14",1,1,1,1,0,1,1,1
"15",1,1,1,0,1,1,1,2
"16",1,1,1,1,1,0,1,2
"17",1,1,1,0,1,0,1,1
"18",1,1,1,1,0,0,0,2
"19",0,0,1,1,2,2,0,2
"20",1,1,1,2,2,2,2,2
"21",1,1,1,1,1,2,2,2
"22",1,0,0,1,1,2,2,2
"23",2,1,1,1,1,2,2,2
"24",2,1,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,1
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,1,2
"31",2,2,2,2,2,2,1,0
"32",2,2,2,2,2,1,1,0
"33",2,2,2,2,2,2,1,1
"34",2,2,2,2,2,2,0,0
"35",2,2,2,2,2,2,2,2
