"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,1,1,1,0,0,1
"2",0,1,0,1,0,1,1,0
"3",0,0,0,1,1,0,1,0
"4",0,1,1,1,1,1,1,0
"5",1,1,0,0,0,0,1,1
"6",0,1,1,0,1,1,1,1
"7",0,0,1,0,0,0,0,1
"8",0,0,1,1,1,1,1,1
"9",2,2,2,1,0,0,0,1
"10",0,1,1,1,0,0,1,1
"11",1,0,0,1,0,0,1,1
"12",2,2,1,0,0,0,0,0
"13",2,2,1,1,1,1,1,0
"14",0,1,0,1,1,0,1,0
"15",2,1,1,0,0,0,1,1
"16",2,0,1,0,1,1,1,1
"17",2,0,1,0,1,1,1,1
"18",0,1,0,1,1,0,1,1
"19",2,0,1,1,0,1,0,2
"20",2,2,2,1,0,1,1,1
"21",2,2,2,0,1,0,1,2
"22",2,2,2,2,2,2,2,0
"23",2,2,2,2,2,2,2,2
"24",0,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,0,2
"27",2,2,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
